decisionVersion,exampleId,recordSha256,split,decision,reviewer,reviewedAt,notes
pai.dataset-review-decision.v0.1,pai_v0_2_challenge_dynamic_pricing_001,1d37772f5176d808b1e20acedb7a4c2f788333f70c07673f95529aab2ae1508b,challenge,adjudicate,bezovskii,2026-09-07T14:52:43+03:00,"Human-reviewed against source, Agreement Schema v0.2, and issue registry v0.2; dynamic-pricing unsupported-term label is supported."
pai.dataset-review-decision.v0.1,pai_v0_2_challenge_dynamic_pricing_002,693d32c49a904e5b60a603d9b15754eee7e570416ecf3adb7af3140e9fab8a69,challenge,adjudicate,bezovskii,2026-09-07T14:52:43+03:00,"Human-reviewed against source, Agreement Schema v0.2, and issue registry v0.2; dynamic-pricing unsupported-term label is supported."
pai.dataset-review-decision.v0.1,pai_v0_2_challenge_recurring_retainer_001,853232fa508001eb7242778744586bf44e79a6e75690849dec9c19d6d9d22e81,challenge,reject,bezovskii,2026-09-07T14:52:43+03:00,Source also states that either party may cancel with 30 days notice; target drops this material explicit term and the current schema/issue registry does not faithfully represent or flag that cancellation right.
pai.dataset-review-decision.v0.1,pai_v0_2_challenge_recurring_retainer_002,b39635b984def22419eae1753e490b0607f17c85d16db7ec8125862ab2237bb5,challenge,reject,bezovskii,2026-09-07T14:52:43+03:00,Source also states that either party may cancel with 30 days notice; target drops this material explicit term and the current schema/issue registry does not faithfully represent or flag that cancellation right.
pai.dataset-review-decision.v0.1,pai_v0_2_train_ambiguous_currency_001,cbfde978decb0adf1310824856c6b78e5fa074e0dd68eda371d9d7787356496a,train,adjudicate,bezovskii,2026-09-07T15:51:11+03:00,"Human-reviewed against source, Agreement Schema v0.2, prompt v0.3, and issue registry v0.2; shared dollar symbol is correctly preserved with unresolved currency code and AMBIGUOUS_CURRENCY captures the single ambiguous fact without duplicate classification."
pai.dataset-review-decision.v0.1,pai_v0_2_train_ambiguous_currency_002,48e167b2890ca56ba6b32529f8ee2fd8a915f63b9a74077075a873a6dfca3c19,train,adjudicate,bezovskii,2026-09-07T15:51:11+03:00,"Human-reviewed against source, Agreement Schema v0.2, prompt v0.3, and issue registry v0.2; shared dollar symbol is correctly preserved with unresolved currency code and AMBIGUOUS_CURRENCY captures the single ambiguous fact without duplicate classification."
pai.dataset-review-decision.v0.1,pai_v0_2_train_ambiguous_currency_003,f5c6c300b890c045df8cc3dd01a428bdeca407b1354db50dac6983be37163663,train,adjudicate,bezovskii,2026-09-07T15:51:11+03:00,"Human-reviewed against source, Agreement Schema v0.2, prompt v0.3, and issue registry v0.2; shared dollar symbol is correctly preserved with unresolved currency code and AMBIGUOUS_CURRENCY captures the single ambiguous fact without duplicate classification."
pai.dataset-review-decision.v0.1,pai_v0_2_train_ambiguous_currency_004,6ea093e5bde334937fd66e5408023b0a949c7b690e42471b33f5d16842ae5f94,train,adjudicate,bezovskii,2026-09-07T15:51:11+03:00,"Human-reviewed against source, Agreement Schema v0.2, prompt v0.3, and issue registry v0.2; shared dollar symbol is correctly preserved with unresolved currency code and AMBIGUOUS_CURRENCY captures the single ambiguous fact without duplicate classification."
pai.dataset-review-decision.v0.1,pai_v0_2_train_complete_flat_001,10f16cdf083f1a0dcf101225e40492481bf81c101320f72b5077b262d59777d9,train,adjudicate,bezovskii,2026-09-07T16:14:53+03:00,"Human-reviewed against source and Agreement Schema v0.2; parties, scope, fixed price, settlement currency, acceptance authority and criteria, payment trigger, and absolute deadline are directly supported. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_complete_flat_002,734e707807a23ed475bbd17c82117f2b831574fc9ff27fc13988f4b7a9a721b3,train,adjudicate,bezovskii,2026-09-07T16:14:53+03:00,"Human-reviewed against source and Agreement Schema v0.2; parties, scope, fixed price, settlement currency, acceptance authority and criteria, payment trigger, and absolute deadline are directly supported. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_complete_flat_003,591581f3473d83d69668ede447738585f9d37648128ef6e34154a7e92167746d,train,adjudicate,bezovskii,2026-09-07T16:14:53+03:00,"Human-reviewed against source and Agreement Schema v0.2; parties, scope, fixed price, settlement currency, acceptance authority and criteria, payment trigger, and absolute deadline are directly supported. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_complete_flat_004,9b4c45116f04689b24ae1a3d10a2f1bb1e50677b8fa692a4e0309f6c46d22a65,train,adjudicate,bezovskii,2026-09-07T16:14:53+03:00,"Human-reviewed against source and Agreement Schema v0.2; parties, scope, fixed price, settlement currency, acceptance authority and criteria, payment trigger, and absolute deadline are directly supported. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_milestone_schedule_001,cb2ff817d968bd88adb0924f0025cd05519acfa3e8b8bffc4480343b3a51ac4b,train,adjudicate,bezovskii,2026-09-07T17:49:00+03:00,"Human-reviewed against source and Agreement Schema v0.2; percentage payment shares sum to 100, upfront and milestone-accepted triggers are directly supported, and parties, total price, acceptance criteria, milestone deadline, and provenance are consistent. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_milestone_schedule_002,513e936adfce3709443f6478454676d052bcaefc62020555a02ee73686cb4ca4,train,adjudicate,bezovskii,2026-09-07T17:49:00+03:00,"Human-reviewed against source and Agreement Schema v0.2; percentage payment shares sum to 100, upfront and milestone-accepted triggers are directly supported, and parties, total price, acceptance criteria, milestone deadline, and provenance are consistent. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_milestone_schedule_003,9136c1cb54845ef0ab6072ff06b5c9fe89a16d5c3406547ea21faeaeb919a249,train,adjudicate,bezovskii,2026-09-07T17:49:00+03:00,"Human-reviewed against source and Agreement Schema v0.2; percentage payment shares sum to 100, upfront and milestone-accepted triggers are directly supported, and parties, total price, acceptance criteria, milestone deadline, and provenance are consistent. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_milestone_schedule_004,9680f70d12f48bd02c5538bcedec1e4412eddce8673729cf4cde9c74aad4ec9c,train,adjudicate,bezovskii,2026-09-07T17:49:00+03:00,"Human-reviewed against source and Agreement Schema v0.2; percentage payment shares sum to 100, upfront and milestone-accepted triggers are directly supported, and parties, total price, acceptance criteria, milestone deadline, and provenance are consistent. No selective issue is triggered."
pai.dataset-review-decision.v0.1,pai_v0_2_train_missing_acceptance_001,6609f02c0f92229bed6647335bc73b70f9e6499d8804d21958cf2fcd99e0bdab,train,adjudicate,bezovskii,2026-09-07T16:11:27+03:00,"Human-reviewed against source and Agreement Schema v0.2; acceptance is explicitly required and the approving party is stated, but no acceptance criteria are provided. MISSING_ACCEPTANCE_CRITERIA is the correct selective issue."
pai.dataset-review-decision.v0.1,pai_v0_2_train_missing_acceptance_002,ec984e256c71d40f9f4678f8f789af7d6798388506729f725c816c11793d9b19,train,adjudicate,bezovskii,2026-09-07T16:11:27+03:00,"Human-reviewed against source and Agreement Schema v0.2; acceptance is explicitly required and the approving party is stated, but no acceptance criteria are provided. MISSING_ACCEPTANCE_CRITERIA is the correct selective issue."
pai.dataset-review-decision.v0.1,pai_v0_2_train_missing_acceptance_003,6a21fd9a40007e43c2ab15b212154963aae11905a1a1afd4405c1c2983ff087b,train,adjudicate,bezovskii,2026-09-07T16:11:27+03:00,"Human-reviewed against source and Agreement Schema v0.2; acceptance is explicitly required and the approving party is stated, but no acceptance criteria are provided. MISSING_ACCEPTANCE_CRITERIA is the correct selective issue."
pai.dataset-review-decision.v0.1,pai_v0_2_train_missing_acceptance_004,eb01c72cd9b2a617ced9005eb3fab9d6db290c2f07976f36b749809fdc59b51c,train,adjudicate,bezovskii,2026-09-07T16:11:27+03:00,"Human-reviewed against source and Agreement Schema v0.2; acceptance is explicitly required and the approving party is stated, but no acceptance criteria are provided. MISSING_ACCEPTANCE_CRITERIA is the correct selective issue."
