decisionVersion,exampleId,recordSha256,split,decision,reviewer,reviewedAt,notes
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_acceptance_authority_001,4ebfb9e6805a177382e93125fe80a943d328dfb0c5b93e7feea6f489492539dd,train,adjudicate,bezovskii,2026-09-09T11:17:59+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_deadline_001,25ca848bcd26401a4ceb6697951a1f8c0e9b99145cafe59e82e6474bdfe4c322,train,adjudicate,bezovskii,2026-09-09T11:17:59+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_party_001,70581b26b912afa25fbb6163bfad56db724ccf9548b40554a5d333be621cea6c,train,adjudicate,bezovskii,2026-09-09T11:17:59+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_party_role_001,3f511b81f91f4002eec2fc81de2815105032dabeb854f68b01ce5d734e40decd,train,adjudicate,bezovskii,2026-09-09T11:17:59+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_payment_trigger_001,d9bfe058ba431943e849e17bc36a18de4b932c2f8006c8ccee41ee63240de995,train,adjudicate,bezovskii,2026-09-09T11:17:59+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_revision_scope_001,2ae132f59c490b120c886d29cbfd103714a4e4c1c6aed60c9b677ec36626c9e8,train,adjudicate,bezovskii,2026-09-09T12:07:31+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_scope_001,2b0c54bd1b3a87d1f33b2462192f825182cea688bff7e9b5a44f192a8497a5f5,train,adjudicate,bezovskii,2026-09-09T15:04:30+00:00,"Human semantic re-review after schema-safe AMBIGUOUS_SCOPE correction: ambiguity preserved, no deliverable selected, exact source-supported milestone description and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_settlement_asset_001,b3aeb340ca1cf46c546b3b01fc55191d47ef30b05e6ee1182ce19bd26c162b6a,train,adjudicate,bezovskii,2026-09-09T12:07:31+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_ambiguous_settlement_network_001,f27c49646f2b69304ab5eca29eeb64c5c21e9290b0cda8b6f2028684e0d99058,train,adjudicate,bezovskii,2026-09-09T12:07:31+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
pai.dataset-review-decision.v0.1,pai_v0_2_train_registry_clean_001_001,b3e7f13f60ad996cd378fe96f61efcc49d50d254d7b6aa8af1269a9d49b00b58,train,adjudicate,bezovskii,2026-09-09T12:07:31+00:00,"Human semantic review: source grounding, issue isolation, evidence, target fields, and provenance verified."
